name,description,tessellate,WKT
LLP01,LLP01    <br>       <br>   FID   19    <br>   Id   0    <br>   Name   LLP01    <br>   Code       <br>   Type   LLP    <br>   Class   ISL    <br>   Min_Alt   0    <br>   Max_Alt   1500    <br>   Lable   LLP01 GND-1500    <br>   Reference   שמורות טבע    <br>   Nick   החולה,,"35.604567 33.061014 0, 35.609845 33.062403 0, 35.617901 33.077403 0, 35.606234 33.085736 0, 35.606512 33.091292 0, 35.623734 33.094625 0, 35.625123 33.109904 0, 35.612067 33.118237 0, 35.587066 33.120459 0, 35.585122 33.11657 0, 35.587344 33.100736 0, 35.575677 33.097681 0, 35.575955 33.077403 0, 35.590123 33.061014 0, 35.604567 33.061014"
LLP02,LLP02    <br>       <br>   FID   20    <br>   Id   0    <br>   Name   LLP02    <br>   Code       <br>   Type   LLP    <br>   Class   ISL    <br>   Min_Alt   0    <br>   Max_Alt   3500    <br>   Lable   LLP02 GND-3500    <br>   Reference   שמורות טבע    <br>   Nick   גמלא,,"35.712072 32.887957 0, 35.774851 32.896569 0, 35.762906 32.92018 0, 35.685405 32.90379 0, 35.708183 32.897401 0, 35.712072 32.887957"
LLP03,LLP03    <br>       <br>   FID   0    <br>   Id   0    <br>   Name   LLP03    <br>   Code       <br>   Type   LLP    <br>   Class   ISL    <br>   Min_Alt   0    <br>   Max_Alt   3000    <br>   Lable   LLP03 MSL/GND-3000    <br>   Reference   סגור בטחונית    <br>   Nick   קריות,,"35.083658 32.856838 0, 35.089104 32.861256 0, 35.084502 32.892896 0, 35.073817 32.893074 0, 35.062297 32.857192 0, 35.083658 32.856838"
LLP04,LLP04    <br>       <br>   FID   1    <br>   Id   0    <br>   Name   LLP04    <br>   Code       <br>   Type   LLP    <br>   Class   ISL    <br>   Min_Alt   0    <br>   Max_Alt   3000    <br>   Lable   LLP04 GND-3000    <br>   Reference   סגור בטחונית    <br>   Nick   בתי הזיקוק,,"35.059523 32.783289 0, 35.07258 32.793895 0, 35.054664 32.804111 0, 35.049202 32.798789 0, 35.051213 32.793345 0, 35.056529 32.792356 0, 35.059523 32.783289"
LLP05,LLP05    <br>       <br>   FID   2    <br>   Id   0    <br>   Name   LLP05    <br>   Code       <br>   Type   LLP    <br>   Class   ISL    <br>   Min_Alt   0    <br>   Max_Alt   2000    <br>   Lable   LLP05 MSL/GND-2000    <br>   Reference   סגור בטחונית    <br>   Nick   עתלית,,"34.944087 32.678715 0, 34.944732 32.708466 0, 34.944732 32.708467 0, 34.920205 32.708844 0, 34.919568 32.679093 0, 34.944087 32.678715"
LLP06,LLP06    <br>       <br>   FID   3    <br>   Id   0    <br>   Name   LLP06    <br>   Code       <br>   Type   LLP    <br>   Class   ISL    <br>   Min_Alt   0    <br>   Max_Alt   2000    <br>   Lable   LLP06 GND-2000    <br>   Reference   סגור בטחונית    <br>   Nick   קיסריה,,"34.903725 32.505444 0, 34.903726 32.505444 0, 34.912337 32.507111 0, 34.910392 32.5135 0, 34.914136 32.532219 0, 34.914836 32.5435 0, 34.914836 32.543501 0, 34.911781 32.544334 0, 34.903447 32.534611 0, 34.897336 32.511833 0, 34.903725 32.505444"
LLP07,LLP07    <br>       <br>   FID   4    <br>   Id   0    <br>   Name   LLP07    <br>   Code       <br>   Type   LLP    <br>   Class   ISL    <br>   Min_Alt   0    <br>   Max_Alt   2000    <br>   Lable   LLP07 MSL/GND-2000    <br>   Reference   סגור בטחונית    <br>   Nick   חדרה,,"34.886882 32.46135 0, 34.887548 32.461394 0, 34.88821 32.461472 0, 34.888865 32.461586 0, 34.889509 32.461735 0, 34.890142 32.461917 0, 34.89076 32.462133 0, 34.891361 32.462381 0, 34.891942 32.462661 0, 34.892501 32.462971 0, 34.893036 32.46331 0, 34.893545 32.463677 0, 34.894026 32.46407 0, 34.894477 32.464489 0, 34.894895 32.46493 0, 34.895281 32.465393 0, 34.895631 32.465875 0, 34.895945 32.466375 0, 34.896221 32.466891 0, 34.896459 32.467421 0, 34.896657 32.467962 0, 34.896814 32.468512 0, 34.89693 32.46907 0, 34.897005 32.469633 0, 34.897038 32.470199 0, 34.897029 32.470766 0, 34.896978 32.47133 0, 34.896885 32.471891 0, 34.896751 32.472446 0, 34.896576 32.472993 0, 34.89636 32.473529 0, 34.896106 32.474053 0, 34.895813 32.474562 0, 34.895483 32.475055 0, 34.895117 32.475529 0, 34.894717 32.475983 0, 34.894284 32.476414 0, 34.89382 32.476822 0, 34.893327 32.477204 0, 34.892806 32.477559 0, 34.89226 32.477886 0, 34.891691 32.478183 0, 34.891101 32.478449 0, 34.890492 32.478683 0, 34.889868 32.478885 0, 34.889229 32.479052 0, 34.88858 32.479186 0, 34.887922 32.479284 0, 34.887257 32.479347 0, 34.88659 32.479375 0, 34.885922 32.479367 0, 34.885255 32.479324 0, 34.884593 32.479245 0, 34.883939 32.479131 0, 34.883294 32.478983 0, 34.882661 32.478801 0, 34.882043 32.478585 0, 34.881442 32.478337 0, 34.880861 32.478057 0, 34.880302 32.477747 0, 34.879767 32.477407 0, 34.879258 32.47704 0, 34.878777 32.476647 0, 34.878326 32.476229 0, 34.877907 32.475787 0, 34.877522 32.475324 0, 34.877172 32.474842 0, 34.876858 32.474342 0, 34.876582 32.473826 0, 34.876344 32.473296 0, 34.876147 32.472755 0, 34.875989 32.472204 0, 34.875873 32.471647 0, 34.875799 32.471084 0, 34.875766 32.470518 0, 34.875775 32.469951 0, 34.875826 32.469386 0, 34.875919 32.468825 0, 34.876054 32.468271 0, 34.876229 32.467724 0, 34.876444 32.467188 0, 34.876699 32.466664 0, 34.876991 32.466155 0, 34.877321 32.465662 0, 34.877687 32.465188 0, 34.878087 32.464734 0, 34.87852 32.464303 0, 34.878985 32.463895 0, 34.879478 32.463513 0, 34.879999 32.463158 0, 34.880545 32.462831 0, 34.881114 32.462535 0, 34.881704 32.462268 0, 34.882312 32.462034 0, 34.882937 32.461833 0, 34.883575 32.461665 0, 34.884224 32.461532 0, 34.884883 32.461434 0, 34.885547 32.46137 0, 34.886214 32.461343 0, 34.886882 32.46135"
LLP08,LLP08    <br>       <br>   FID   5    <br>   Id   0    <br>   Name   LLP08    <br>   Code       <br>   Type   LLP    <br>   Class   ISL    <br>   Min_Alt   0    <br>   Max_Alt   1100    <br>   Lable   LLP08 GND-1100    <br>   Reference   סגור בטחונית    <br>   Nick   רמת השרון,,"34.864067 32.159529 0, 34.852426 32.160602 0, 34.844552 32.138168 0, 34.862457 32.132494 0, 34.859187 32.128033 0, 34.863297 32.121658 0, 34.873874 32.1206 0, 34.878242 32.126849 0, 34.876252 32.133193 0, 34.876251 32.133193 0, 34.870953 32.133271 0, 34.864067 32.159529"
LLP09,LLP09    <br>       <br>   OBJECTID_1   9    <br>   Name   LLP09    <br>   Type   סגור בטחונית    <br>   SHAPE_Leng   .030819    <br>   Nickname   נס ציונה    <br>   Max_Alt   11000    <br>   Min_Alt   GND,,"34.79006 31.930522 0, 34.789728 31.930513 0, 34.789397 31.930487 0, 34.789069 31.930444 0, 34.788745 31.930383 0, 34.788426 31.930304 0, 34.788113 31.930209 0, 34.787808 31.930097 0, 34.787511 31.929969 0, 34.787225 31.929825 0, 34.78695 31.929667 0, 34.786687 31.929493 0, 34.786437 31.929307 0, 34.786202 31.929107 0, 34.785982 31.928895 0, 34.785778 31.928671 0, 34.78559 31.928437 0, 34.785421 31.928194 0, 34.785269 31.927942 0, 34.785136 31.927682 0, 34.785023 31.927416 0, 34.78493 31.927144 0, 34.784857 31.926868 0, 34.784804 31.926588 0, 34.784772 31.926306 0, 34.784761 31.926023 0, 34.78477 31.92574 0, 34.784801 31.925458 0, 34.784852 31.925178 0, 34.784924 31.924901 0, 34.785016 31.924629 0, 34.785128 31.924362 0, 34.785259 31.924102 0, 34.785409 31.923849 0, 34.785577 31.923605 0, 34.785763 31.923371 0, 34.785966 31.923146 0, 34.786185 31.922933 0, 34.78642 31.922733 0, 34.786668 31.922545 0, 34.78693 31.922371 0, 34.787205 31.922211 0, 34.78749 31.922066 0, 34.787786 31.921937 0, 34.78809 31.921824 0, 34.788402 31.921727 0, 34.788721 31.921648 0, 34.789045 31.921585 0, 34.789373 31.92154 0, 34.789704 31.921513 0, 34.790036 31.921503 0, 34.790367 31.921512 0, 34.790698 31.921538 0, 34.791026 31.921581 0, 34.791351 31.921642 0, 34.79167 31.921721 0, 34.791983 31.921816 0, 34.792288 31.921928 0, 34.792584 31.922056 0, 34.79287 31.9222 0, 34.793145 31.922358 0, 34.793408 31.922531 0, 34.793658 31.922718 0, 34.793893 31.922918 0, 34.794114 31.92313 0, 34.794318 31.923354 0, 34.794505 31.923587 0, 34.794675 31.923831 0, 34.794826 31.924083 0, 34.794959 31.924343 0, 34.795072 31.924609 0, 34.795166 31.924881 0, 34.795239 31.925157 0, 34.795292 31.925437 0, 34.795324 31.925719 0, 34.795335 31.926002 0, 34.795325 31.926285 0, 34.795295 31.926567 0, 34.795244 31.926847 0, 34.795172 31.927124 0, 34.79508 31.927396 0, 34.794968 31.927663 0, 34.794837 31.927923 0, 34.794687 31.928175 0, 34.794519 31.92842 0, 34.794333 31.928654 0, 34.79413 31.928879 0, 34.79391 31.929091 0, 34.793676 31.929292 0, 34.793428 31.92948 0, 34.793166 31.929654 0, 34.792891 31.929814 0, 34.792606 31.929959 0, 34.79231 31.930088 0, 34.792006 31.930201 0, 34.791693 31.930298 0, 34.791375 31.930377 0, 34.791051 31.93044 0, 34.790723 31.930485 0, 34.790392 31.930512 0, 34.79006 31.930522"
LLP10,LLP10    <br>       <br>   FID   6    <br>   Id   0    <br>   Name   LLP10    <br>   Code       <br>   Type   LLP    <br>   Class   ISL    <br>   Min_Alt   0    <br>   Max_Alt   900    <br>   Lable   LLP10 GND-900    <br>   Reference   סגור בטחונית    <br>   Nick   מ. איילון-יח האוירית,,"34.945402 31.870901 0, 34.959622 31.859643 0, 34.966179 31.845904 0, 34.976591 31.834703 0, 34.981154 31.834632 0, 34.986546 31.837795 0, 34.979455 31.861934 0, 34.956895 31.874622 0, 34.945402 31.870902 0, 34.945402 31.870901"
